"kMEblack"	"kMEblue"	"kMEbrown"	"kMEgrey"	"kMEred"	"kMEyellow"
"TRINITY_DN2045_c0_g1_i1"	-0.13225704933562	0.936731637357066	0.625583327170697	-0.520782347873575	0.232633809340664	-0.334820153529751
"TRINITY_DN2092_c0_g1_i1"	-0.247607300712331	0.927975152625152	0.570546997755562	-0.182499141280454	0.304471854203951	-0.242596448499891
"TRINITY_DN2099_c0_g2_i1"	-0.170633379258352	0.971384786082412	0.609612725358228	-0.269309945988073	0.323813065061457	-0.3534122568994
"TRINITY_DN2099_c0_g1_i1"	-0.189046322020621	0.971155090164101	0.600294213430355	-0.18803078550267	0.331584510126033	-0.351585025680819
"TRINITY_DN446_c0_g1_i2"	-0.160575939068406	0.966712319375973	0.608517232038479	-0.422828824621257	0.300295783469989	-0.313402223547252
"TRINITY_DN412_c0_g1_i1"	0.329637400805805	0.15051763147698	0.38082367034189	-0.20967198369826	-0.0991018218050582	-0.00789537416637588
"TRINITY_DN485_c0_g1_i1"	-0.25021455672293	0.989756946844023	0.64576126184637	-0.327339121713441	0.287599976642424	-0.295041668072136
"TRINITY_DN473_c0_g1_i1"	-0.117770412751765	0.934466347191287	0.604832461587211	-0.437242485743579	0.323601102966819	-0.366473685206475
"TRINITY_DN429_c0_g3_i1"	-0.773575268967162	-0.180930302099781	0.394512494400712	0.447270175080445	-0.845602831015638	0.893576086217498
"TRINITY_DN438_c0_g1_i1"	-0.466385691946289	0.777940090077817	0.824283380491932	-0.0162142684890382	-0.0404027694436627	0.0993839182981216
"TRINITY_DN404_c0_g1_i7"	-0.532629052490245	0.636556650595132	0.542132624904441	-0.0980326355806228	-0.171661130835601	0.0943046489489842
"TRINITY_DN404_c0_g1_i5"	-0.374688789565349	0.914464337675271	0.733185154223225	-0.102947472130353	0.0193380953181524	-0.0333821847451875
"TRINITY_DN404_c0_g1_i3"	-0.237182331437598	0.964008809439096	0.633243837513143	-0.362588742435548	0.212040635446394	-0.288620240531916
"TRINITY_DN465_c0_g1_i1"	-0.547725049998376	0.392052641214272	0.943431870235881	0.0642249525711475	-0.529024565050564	0.518627460420893
"TRINITY_DN457_c0_g1_i1"	-0.206411287838236	0.970327688662832	0.651187922038155	-0.412312525640328	0.292307585730687	-0.312452452587882
