Accession_ID,kME_vals
P0CG53,0
P62992,0
P62992,0
Q9BU89,0
Q9BU89,0
P41115,0
Q17031,0
Q03206,0
P58466,0
Q5RFH0,0
Q6GPQ6,0
Q9VZX9,0
P0CP97,0
Q0IIF7,0
P78371,0
P52434,0
Q8MQI6,0
A2RRD8,0
Q9CQ79,0
P18824,0
Q9QX67,0
P52478,0
P20085,0
Q9Y3B3,0
Q9Y3B3,0
P48059,0
P15122,0
E0VI98,0
E0VI98,0
Q8HXB8,0
Q174D3,0
Q174D3,0
Q86YQ8,0
Q3B8G7,0
P35821,0
Q641B9,0
Q9VKB4,0
Q32PD0,0
P23935,0
Q3SX43,0
P36872,0
Q2YDE4,0
Q2YDE4,0
Q6PUR6,0
Q8NEZ2,0
B5FXA0,0
Q5U2R1,0
Q2HJ97,0
Q3ZBK6,0
Q9CQE8,0
Q15286,0
Q15286,0
Q15286,0
Q15286,0
Q15286,0
Q6NVP7,0
Q6NVP7,0
Q6NVP7,0
O09101,0
Q9CQT9,0
Q9W440,0
Q9CQZ0,0
Q9CQZ0,0
O01346,0
Q9VHD2,0
Q9VHD2,0
Q9VHD2,0
Q7SXS7,0
Q9CR60,0
C0HL66,0
C0HL66,0
C0HL66,0
Q59DX8,0
Q0KHT7,0
Q0MQI4,0
Q96KS9,0
B7Q1Q9,0
Q95RA8,0
Q1RP77,0
Q0MQD1,0
Q0MQD1,0
Q9VIW7,0
Q27319,0
Q27319,0
Q27319,0
Q9W352,0
Q6DFS6,0
Q6DFS6,0
Q5R816,0
P52292,0
Q27888,0
Q27888,0
A8WHP3,0
Q1KKT4,0
P22974,0
Q292Q0,0
P35604,0
P35604,0
P35604,0
P35604,0
P35604,0
Q15637,0
P17980,0
P17980,0
Q3T0G5,0
P08648,0
P07706,0
P07706,0
Q36422,0
P07704,0
P07704,0
Q94572,0
Q94572,0
Q5ZIQ3,0
Q5ZIQ3,0
P91277,0
Q5ZIQ3,0
Q5ZIQ3,0
Q8TGM7,0
Q8TGM7,0
Q8TGM7,0
Q8TGM6,0
Q8TGM7,0
Q8TGM6,0
Q8TGM7,0
Q8TGM6,0
Q8TGM6,0
Q9VJ33,0
Q5RBV4,0.643028978221851
Q568P1,0
Q568P1,0
Q9W092,0
B0BYW4,0
B0BYW4,0
B0BYW4,0
B0BYW4,0
O14735,0
O14735,0
P17713,0
Q5E9E4,0
Q5E9E4,0
Q5E9E4,0
Q5E9E4,0
Q5E9E4,0
Q5E9E4,0
P40320,0
Q2KJC6,0
P16905,0
P16905,0
P16905,0
Q4V842,0
Q9VHR8,0
Q5RC69,0
Q5RC69,0
Q5XJP0,0
Q6AYD3,0
P60712,0
O42161,0
Q62425,0
Q62425,0
Q56JV1,0
Q6PKX4,0
Q6PKX4,0
B5DF89,0
Q8AVR2,0
Q9NU19,0
Q9NU19,0
Q24174,0
Q9B6D8,0
Q9B6D8,0
Q9B6D8,0
Q498T2,0
A7Z035,0
Q99L47,0
Q99L47,0
Q9UBU8,0
A2ALS5,0
Q8N0N3,0
P25788,0
P25788,0
B8JLV7,0
P46507,0
O95807,0
O95807,0
Q9W2N0,0
Q6P1J9,0
Q6P1J9,0
Q8TGM7,0
Q9N2M8,0
Q9VEG6,0
Q6TGY8,0
Q29092,0
Q5F356,0
Q7TNE3,0
Q96S96,0
Q01406,0
P50990,0
Q5ZKF4,0
P45521,0
P38040,0
Q5ZHW4,0
O46108,0
P29341,0
P29341,0
P29341,0
Q9UJ83,0
Q9UJ83,0
Q5U583,0
Q3ZCF3,0
Q6DRH5,0
Q6DRH5,0
P05201,0
P46472,0
P00129,0
A0A0P6JG37,0
Q6P6X9,0
Q6P6X9,0
Q6NYD1,0
Q6NYD1,0
Q6DEI8,0
Q8BTI8,0
O43396,0
Q6B860,0
O13035,0
Q75QI0,0
Q9NA75,0
Q8TFM9,0
Q8TFM9,0
Q02766,0
Q6GR34,0
Q9UBF6,0
